"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 individual fits",-68.41,"-69.47 to -67.32",-187.84,"-191.19 to -184.37",-10.15,"-10.2 to -10.11",54.33,"54.11 to 54.58"
"2 Tm versus ln[Ct]",-67.71,"-69.08 to -66.59",-185.69,"-189.94 to -182.21",-10.12,"-10.18 to -10.06",54.34,"54.12 to 54.53"
"3 Global fit",-67.72,"-69.5 to -66.53",-185.71,"-191.15 to -181.97",-10.13,"-10.23 to -10.04",54.39,"54.12 to 54.73"
