"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-65.61,6.95,-179.12,21.53,-10.06,0.28,54.61,16.51
"2 Tm versus ln[Ct]",-62.25,1.85,-168.86,5.75,-9.88,0.07,54.61,0.21
"3 Global fit",-67.7,0.38,-185.6,1.17,-10.14,0.02,54.45,0.03
